,Unix,Samples,Time,Sampling,Data,Cluster
0,1556890689.746113,16384,341,48046.92082111436,1620.237716473639,1
1,1556890690.139326,16384,340,48188.23529411764,3240.4740560799837,1
2,1556890690.536072,16384,340,48188.23529411764,4860.703345388174,1
3,1556890690.93793,16384,340,48188.23529411764,6480.930885951966,1
4,1556890691.331436,16384,341,48046.92082111436,8101.165525987744,1
5,1556890691.720866,16384,340,48188.23529411764,9721.402381919324,1
6,1556890692.116294,16384,340,48188.23529411764,11341.6360354051,1
7,1556890692.513432,16384,340,48188.23529411764,12961.872497946024,1
8,1556890692.919382,16384,341,48046.92082111436,14582.109661214054,1
9,1556890693.3198874,16384,340,48188.23529411764,16202.336353529245,1
10,1556890722.286144,16384,340,48188.23529411764,17822.671597078443,1
11,1556890722.6615849,16384,341,48046.92082111436,19443.009726516902,1
12,1556890723.0372179,16384,341,48046.92082111436,21063.351494818926,1
13,1556890723.4139721,16384,340,48188.23529411764,22683.69739986956,1
14,1556890723.792568,16384,340,48188.23529411764,24304.04831757769,1
15,1556890724.166809,16384,341,48046.92082111436,25924.404290970415,1
16,1556890724.535855,16384,341,48046.92082111436,27544.756742287427,1
17,1556890724.9074614,16384,340,48188.23529411764,29165.10201729834,1
18,1556890725.294235,16384,340,48188.23529411764,30785.442789830267,1
19,1556890725.691648,16384,341,48046.92082111436,32405.78569220379,1
20,1556890726.086682,16384,341,48046.92082111436,34026.12832104787,1
21,1556890726.4795961,16384,340,48188.23529411764,35646.474730130285,1
22,1556890726.876524,16384,340,48188.23529411764,37266.81321915239,1
23,1556890727.275206,16384,341,48046.92082111436,38887.1613769792,1
24,1556890727.671583,16384,341,48046.92082111436,40507.50582832843,1
25,1556890728.0698726,16384,340,48188.23529411764,42127.84543298185,1
26,1556890728.463283,16384,340,48188.23529411764,43748.19645518437,1
27,1556890728.8615491,16384,341,48046.92082111436,45368.531621899456,1
28,1556890729.2560158,16384,341,48046.92082111436,46988.88183273375,1
29,1556890729.652321,16384,340,48188.23529411764,48609.22428946942,1
30,1556890730.0502534,16384,340,48188.23529411764,50229.56500975415,1
31,1556890730.44529,16384,341,48046.92082111436,51849.91380376741,1
32,1556890730.844219,16384,341,48046.92082111436,53470.26192471385,1
33,1556890731.2404976,16384,340,48188.23529411764,55090.609415620565,1
34,1556890731.6448882,16384,340,48188.23529411764,56710.95870137215,1
35,1556890732.031989,16384,341,48046.92082111436,58331.30558375269,1
36,1556890732.426243,16384,341,48046.92082111436,59951.65203278884,1
37,1556890732.825355,16384,340,48188.23529411764,61571.99525479227,1
38,1556890733.221607,16384,340,48188.23529411764,63192.33571384102,1
39,1556890733.617116,16384,341,48046.92082111436,64812.67172573134,1
40,1556890734.0128212,16384,341,48046.92082111436,66433.00115754828,1
41,1556890734.409533,16384,340,48188.23529411764,68053.34252323955,1
42,1556890734.8078249,16384,340,48188.23529411764,69673.68605257943,1
43,1556890735.2108102,16384,341,48046.92082111436,71294.03110323474,1
44,1556890735.6048794,16384,340,48188.23529411764,72914.36804942787,1
45,1556890735.998475,16384,340,48188.23529411764,74534.70586845651,1
46,1556890736.390817,16384,340,48188.23529411764,76155.05412463099,1
47,1556890736.786599,16384,341,48046.92082111436,77775.39430707693,1
48,1556890737.1828651,16384,340,48188.23529411764,79395.73097052053,1
49,1556890737.586817,16384,340,48188.23529411764,81016.07479183003,1
50,1556890737.975059,16384,340,48188.23529411764,82636.41264773905,1
51,1556890738.371247,16384,341,48046.92082111436,84256.75264578313,1
52,1556890738.7664874,16384,341,48046.92082111436,85877.0885746926,1
53,1556890739.163942,16384,340,48188.23529411764,87497.42747861892,1
54,1556890739.5631306,16384,340,48188.23529411764,89117.76629956439,1
55,1556890739.9582849,16384,341,48046.92082111436,90738.10429070145,1
56,1556890740.3512561,16384,341,48046.92082111436,92358.44703018665,1
57,1556890740.749291,16384,340,48188.23529411764,93978.79193639383,1
58,1556890741.147541,16384,340,48188.23529411764,95599.13252145052,1
59,1556890741.547325,16384,341,48046.92082111436,97219.47320178151,1
60,1556890741.946801,16384,341,48046.92082111436,98839.81466582045,1
61,1556890742.335465,16384,340,48188.23529411764,100460.1527092047,1
62,1556890742.7284381,16384,340,48188.23529411764,102080.48972608522,1
63,1556890743.1332932,16384,341,48046.92082111436,103700.83245327696,1
64,1556890743.52494,16384,341,48046.92082111436,105321.17026308551,1
65,1556890743.922986,16384,340,48188.23529411764,106941.50468604639,1
66,1556890744.317769,16384,340,48188.23529411764,108561.84189040214,1
67,1556890744.720535,16384,341,48046.92082111436,110182.17377476394,1
68,1556890745.1082182,16384,341,48046.92082111436,111802.509168908,1
69,1556890745.505903,16384,340,48188.23529411764,113422.84516235813,1
70,1556890745.903881,16384,340,48188.23529411764,115043.17278703675,1
71,1556890746.298493,16384,341,48046.92082111436,116663.50695798174,1
72,1556890746.6968234,16384,341,48046.92082111436,118283.84578507394,1
73,1556890747.088644,16384,340,48188.23529411764,119904.18439395726,1
74,1556890747.491025,16384,340,48188.23529411764,121524.5248622261,1
75,1556890747.885968,16384,341,48046.92082111436,123144.86502008513,1
76,1556890748.279427,16384,341,48046.92082111436,124765.19954446703,1
77,1556890748.672267,16384,340,48188.23529411764,126385.53385678679,1
78,1556890749.068825,16384,340,48188.23529411764,128005.87290208787,1
79,1556890749.466402,16384,341,48046.92082111436,129626.21187055483,1
80,1556890749.861877,16384,341,48046.92082111436,131246.54527008533,1
81,1556890750.257471,16384,340,48188.23529411764,132866.87059896067,1
82,1556890750.657043,16384,340,48188.23529411764,134487.20329161733,1
83,1556890751.050142,16384,341,48046.92082111436,136107.52788903192,1
84,1556890751.4484859,16384,341,48046.92082111436,137727.85666622221,1
85,1556890751.845666,16384,340,48188.23529411764,139348.18861512467,1
86,1556890752.2442071,16384,340,48188.23529411764,140968.51320639253,1
87,1556890752.645401,16384,341,48046.92082111436,142588.83843999356,1
88,1556890753.046431,16384,341,48046.92082111436,144209.1686493717,1
89,1556890753.4299786,16384,340,48188.23529411764,145829.50035547838,1
90,1556890753.828589,16384,340,48188.23529411764,147449.83178190887,1
91,1556890754.219411,16384,341,48046.92082111436,149070.1553620398,1
92,1556890754.617218,16384,341,48046.92082111436,150690.48221223056,1
93,1556890755.012638,16384,340,48188.23529411764,152310.80353036523,1
94,1556890755.411125,16384,340,48188.23529411764,153931.13791644573,1
95,1556890755.808757,16384,341,48046.92082111436,155551.46047929302,1
96,1556890756.20863,16384,341,48046.92082111436,157171.78195416927,1
97,1556890756.6029482,16384,340,48188.23529411764,158792.1126337722,1
98,1556890756.9964359,16384,340,48188.23529411764,160412.4409161508,1
99,1556890757.3904312,16384,341,48046.92082111436,162032.77314165607,1
100,1556890757.786942,16384,341,48046.92082111436,163653.10584045947,1
101,1556890758.186214,16384,340,48188.23529411764,165273.4352292493,1
102,1556890758.5786462,16384,340,48188.23529411764,166893.76096073538,1
103,1556890758.974449,16384,341,48046.92082111436,168514.08742982894,1
104,1556890759.374057,16384,341,48046.92082111436,170134.42004257813,1
105,1556890759.769957,16384,340,48188.23529411764,171754.74872142076,1
106,1556890760.1686199,16384,340,48188.23529411764,173375.07831612602,1
107,1556890760.5670161,16384,341,48046.92082111436,174995.4044809565,1
108,1556890760.955785,16384,341,48046.92082111436,176615.735578537,1
109,1556890761.3523011,16384,340,48188.23529411764,178236.06499806046,1
110,1556890761.7480488,16384,340,48188.23529411764,179856.38986285776,1
111,1556890762.148512,16384,341,48046.92082111436,181476.71971572563,1
112,1556890762.5416331,16384,341,48046.92082111436,183097.04785980284,1
113,1556890762.948674,16384,340,48188.23529411764,184717.37325014547,1
114,1556890763.339093,16384,340,48188.23529411764,186337.70467657596,1
115,1556890763.734281,16384,341,48046.92082111436,187958.02664011717,1
116,1556890764.131189,16384,341,48046.92082111436,189578.35064744577,1
117,1556890764.5274081,16384,340,48188.23529411764,191198.67431670427,1
118,1556890764.9198458,16384,340,48188.23529411764,192818.99642776698,1
