,Unix,Samples,Time,Sampling,Data,Cluster
0,1556891503.710903,16384,340,48188.23529411764,1620.395579840988,1
1,1556891504.096714,16384,341,48046.92082111436,3240.7879418693483,1
2,1556891504.478334,16384,340,48188.23529411764,4861.172131821513,1
3,1556891504.8705099,16384,340,48188.23529411764,6481.582562159747,1
4,1556891505.2455866,16384,341,48046.92082111436,8101.968208886683,1
5,1556891505.616323,16384,340,48188.23529411764,9722.353987768292,1
6,1556891505.98996,16384,340,48188.23529411764,11342.734342161566,1
7,1556891506.3669171,16384,341,48046.92082111436,12963.133825175464,1
8,1556891506.7508562,16384,340,48188.23529411764,14583.52599972859,1
9,1556891507.136589,16384,341,48046.92082111436,16203.918576892465,1
10,1556891507.5154738,16384,341,48046.92082111436,17824.30740762502,1
11,1556891507.9139712,16384,340,48188.23529411764,19444.724756106734,1
12,1556891508.3086462,16384,341,48046.92082111436,21065.144357364625,1
13,1556891508.708538,16384,340,48188.23529411764,22685.54110508412,1
14,1556891509.10131,16384,340,48188.23529411764,24305.940729472786,1
15,1556891509.497129,16384,341,48046.92082111436,25926.343719195575,1
16,1556891509.8943288,16384,340,48188.23529411764,27546.725717838854,1
17,1556891510.296602,16384,340,48188.23529411764,29167.102439515293,1
18,1556891510.694325,16384,341,48046.92082111436,30787.50401241705,1
19,1556891511.0930636,16384,340,48188.23529411764,32407.893980294466,1
20,1556891511.4881668,16384,341,48046.92082111436,34028.28030316159,1
21,1556891511.885602,16384,341,48046.92082111436,35648.6772660166,1
22,1556891512.279848,16384,340,48188.23529411764,37269.07039638609,1
23,1556891512.6896694,16384,341,48046.92082111436,38889.49249321595,1
24,1556891513.0756214,16384,340,48188.23529411764,40509.88961895928,1
25,1556891513.4714546,16384,340,48188.23529411764,42130.30269546434,1
26,1556891513.8670678,16384,341,48046.92082111436,43750.70656109601,1
27,1556891514.2635949,16384,340,48188.23529411764,45371.111815888435,1
28,1556891514.660681,16384,340,48188.23529411764,46991.495815292,1
29,1556891515.057456,16384,341,48046.92082111436,48611.89298098907,1
30,1556891515.447499,16384,340,48188.23529411764,50232.31826489791,1
31,1556891515.8445492,16384,340,48188.23529411764,51852.726377919316,1
32,1556891516.243856,16384,341,48046.92082111436,53473.1487759389,1
33,1556891516.6396954,16384,340,48188.23529411764,55093.544116057456,1
34,1556891517.0402794,16384,341,48046.92082111436,56713.94085763022,1
35,1556891517.4316401,16384,340,48188.23529411764,58334.33068720624,1
36,1556891517.8305109,16384,340,48188.23529411764,59954.74428003654,1
37,1556891518.2295551,16384,341,48046.92082111436,61575.16986206174,1
38,1556891518.6280868,16384,340,48188.23529411764,63195.576466061175,1
39,1556891519.0519881,16384,340,48188.23529411764,64815.99657749757,1
40,1556891519.450918,16384,341,48046.92082111436,66436.43798427656,1
41,1556891519.832543,16384,340,48188.23529411764,68056.86243223026,1
42,1556891520.221281,16384,340,48188.23529411764,69677.28097010404,1
43,1556891520.6182456,16384,341,48046.92082111436,71297.67449079081,1
44,1556891521.012456,16384,340,48188.23529411764,72918.08130377904,1
45,1556891521.406899,16384,340,48188.23529411764,74538.49854776636,1
46,1556891521.7990189,16384,341,48046.92082111436,76158.92990157008,1
47,1556891522.1918552,16384,340,48188.23529411764,77779.36150124297,1
48,1556891522.594023,16384,340,48188.23529411764,79399.76488128304,1
49,1556891522.989047,16384,341,48046.92082111436,81020.16312265769,1
50,1556891523.385548,16384,340,48188.23529411764,82640.57164443657,1
51,1556891523.7834082,16384,341,48046.92082111436,84260.9902376309,1
52,1556891524.176877,16384,340,48188.23529411764,85881.4023245126,1
53,1556891524.573428,16384,340,48188.23529411764,87501.7936969176,1
54,1556891524.969318,16384,341,48046.92082111436,89122.18217113987,1
55,1556891525.364227,16384,340,48188.23529411764,90742.59501099586,1
56,1556891525.759615,16384,340,48188.23529411764,92363.00249090418,1
57,1556891526.157881,16384,341,48046.92082111436,93983.41504186392,1
58,1556891526.5561204,16384,340,48188.23529411764,95603.82217140868,1
59,1556891526.9577012,16384,341,48046.92082111436,97224.23605620861,1
60,1556891527.351691,16384,341,48046.92082111436,98844.63509051129,1
61,1556891527.745743,16384,340,48188.23529411764,100465.03052897751,1
62,1556891528.139703,16384,341,48046.92082111436,102085.44265581295,1
63,1556891528.53907,16384,340,48188.23529411764,103705.8613780886,1
64,1556891528.93712,16384,340,48188.23529411764,105326.28184910864,1
65,1556891529.33291,16384,341,48046.92082111436,106946.6763225384,1
66,1556891529.72854,16384,340,48188.23529411764,108567.08283126354,1
67,1556891530.127219,16384,340,48188.23529411764,110187.49584322795,1
68,1556891530.520582,16384,341,48046.92082111436,111807.91550595313,1
69,1556891530.915294,16384,340,48188.23529411764,113428.32123711705,1
70,1556891531.3160806,16384,340,48188.23529411764,115048.72642122209,1
71,1556891531.709262,16384,341,48046.92082111436,116669.13551772013,1
