date,value
2019-01-01,67020703.00
2018-01-01,66930732.00
2017-01-01,66829122.00
2016-01-01,66688564.00
2015-01-01,66512557.00
2014-01-01,66276671.00
2013-01-01,65735871.00
2012-01-01,65402999.00
2011-01-01,65087321.00
2010-01-01,64773170.00
2009-01-01,64458720.00
2008-01-01,64133180.00
2007-01-01,63781275.00
2006-01-01,63393404.00
2005-01-01,62958327.00
2004-01-01,62490800.00
2003-01-01,62037546.00
2002-01-01,61604550.00
2001-01-01,61163240.00
2000-01-01,60724780.00
1999-01-01,60315408.00
1998-01-01,60011006.00
1997-01-01,59795262.00
1996-01-01,59589295.00
1995-01-01,59383995.00
1994-01-01,59175327.00
1993-01-01,58961040.00
1992-01-01,58711620.00
1991-01-01,58425686.00
1990-01-01,58138268.00
1989-01-01,57827972.00
1988-01-01,57492298.00
1987-01-01,57168661.00
1986-01-01,56866102.00
1985-01-01,56582342.00
1984-01-01,56305462.00
1983-01-01,56035818.00
1982-01-01,55739042.00
