Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),File shape (product.metafields.shopify.file-shape),Material (product.metafields.shopify.material),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
pumice-stone,Pumice Stone,"<ul class=""tabs-content"">
<li class=""active"" id=""tab1"">
<p>The balance of abrasiveness, softness and longevity make pumice stone a perfect natural alternative that will keep your feet soft and supple. A natural pumice stone will not wear out and can be soaked in hot, soapy water overnight for cleaning. It works far better than synthetic pumice, which is commonly seen on foot files and brushes.</p>
</li>
<li class=""active"">A definite must have for your foot care collection.</li>
</ul>",SPIRIT BEAUTY,Health & Beauty > Personal Care > Cosmetics > Cosmetic Tools > Skin Care Tools > Foot Files,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,13,deny,manual,4.00,,true,true,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/726BA9A8-D65C-4430-85F5-B30EC1CB1043.jpg?v=1724016646,1,"",false,,,,,,,,,,,,,,,,,,,oval,stone,,,,,,,,,kg,,,true,,,true,,,true,,,active
giving-back,Giving Back,"<p class=""cvGsUA direction-ltr align-center para-style-body""><span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Supporting and actively engaging with the Indigenous community held significant importance in the life of Milissa's mother, whose legacy inspired the establishment of SPIRIT BEAUTY. At SPIRIT BEAUTY, we remain committed to upholding this legacy by continuing to support and empower the Indigenous community. We take pride in allocating 10% of all profits towards organizations such as MISSING AND MURDERED INDIGENOUS WOMEN &amp; GIRLS, alongside other charities, in honor of Helen's SPIRIT.</span></p>
<p class=""cvGsUA direction-ltr align-center para-style-body""> </p>
<p class=""cvGsUA direction-ltr align-center para-style-body""><span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">             SPIRIT BEAUTY: Not only where you buy, but where you make a difference! </span></p>
<!---->",SPIRIT BEAUTY,Health & Beauty > Health Care,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0880/8294/0204/files/give_1199796265-1080x627.jpg?v=1724010488,1,"",false,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,kg,,,true,,,true,,,true,,,active
ease-magnesium-mist-copy,Ease Magnesium Mist,"<div class=""row item-row"">
<div class=""col-xs-24"">
<h3><span>Suggested Use</span></h3>
<div class=""prodOverviewDetail"">
<p>Spray 2-5 times onto your skin and massage the area. Magnesium Topical Spray may feel slightly oily, and an itchy sensation may occur (generally if your body is low in Magnesium) after application, but it is not an oil and will absorb quickly. You may see white residue from around the applied areas; this is just leftover salt that can be wiped off. For a foot soak add 1-2 oz. to warm water and soak feet for 20-30 minutes. </p>
<p>Caution: Do not apply to open wounds, cuts, or scratches. If burning or irritation occurs, please discontinue use immediately. For external use only.</p>
</div>
</div>
</div>
<div class=""row item-row"">
<div class=""col-xs-24""><br></div>
</div>
<!---->",SPIRIT BEAUTY,Health & Beauty,magnesium,"",true,Title,Default Title,,,,,,,,,141.747615625,shopify,10,deny,manual,14.00,,true,true,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/image_29d163ba-135d-4ba6-a75b-8e484e62c82b.jpg?v=1723410552,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,true,,,true,,,true,,,active
ease-magnesium-mist-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/image_37053ed0-7ec9-4c53-9294-c486090c6e61.jpg?v=1723410628,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucious-lip-balms,Lucious Lip Balms,,SPIRIT BEAUTY,,"","",false,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/image_b2134fe8-b96d-47d2-a0c2-5158db9729bd.jpg?v=1723412518,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
lucious-lip-balms,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/image_c0e59cf9-168d-4299-987b-ee19936e33fc.jpg?v=1723412541,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soothing-peppermint-foot-scrub,Refreshing Peppermint Foot Scrub,"<p class=""cvGsUA direction-ltr align-center para-style-body""><span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">For feet that hit the pedometer hard - here’s some much-needed TLC - our Peppermint Reviving Pumice Foot Scrub. It buffs away hard skin and dry patches, helping to freshen up active feet and putting tingles in tired toes.</span></p>
<p class=""cvGsUA direction-ltr align-center para-style-body""> </p>
<p class=""cvGsUA direction-ltr align-center para-style-body""><span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Whether you’re pounding the pavements or the treadmill, have you noticed how much of a daily bashing our poor feet get? The flip side of feet is that they’re super-sensitive, home to 200,000 nerve endings - some people report their feet as highly ticklish or erogenous. These sensitive soles are calling out for a rejuvenating peppermint foot scrub!</span></p>
<p class=""cvGsUA direction-ltr align-center para-style-body""> </p>
<p class=""cvGsUA direction-ltr align-center para-style-body""><span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">So, we’re celebrating fantastic feet and peppermint for feet with SPIRIT BEAUTY’S foot scrub, enriched with an enlivening combination of peppermint essence oil and exfoliating volcanic rock (Pumice) granules. Our peppermint foot scrub gets to work on the hard skin that builds up on the soles of your feet. Achy feet can be brought back to life with an exfoliating foot scrub - so treat them to a night off in a warm bowl of water with foot scrubs, until they’re feeling rested, rejuvenated, and cared for.</span></p>
<p class=""cvGsUA direction-ltr align-center para-style-body""> </p>
<p class=""cvGsUA direction-ltr align-center para-style-body""><span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">NGREDIENTS: Sucrose (Sugar), Aqua (Distilled Water), Prunus Amygdalus Dulcis <strong>(Sweet Almond) Oil</strong>, Prunus Armeniaca (Apricot) Kernel Oil, Carthamus Tinctorius (Safflower) Seed Oil, Simmondsia Chinensis, (Jojoba) Seed Oil, Cetearyl Olivate, Sorbitan Olivate, (Olive M), Parfum (Fragrance), Benzyl Alcohol (and) Salicylic Acid (and) Glycerin (and) Sorbic Acid (Geogard ECT Natural Broad-Spectrum Preservative), Mentha Piperita (Peppermint Essential Oil).</span></p>
<p class=""cvGsUA direction-ltr align-center para-style-body""> </p>
<!---->",SPIRIT BEAUTY,Health & Beauty,"","",true,Title,Default Title,,,,,,,,"",212.6214234375,shopify,10,deny,manual,18.00,,true,true,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/image_4efa20ab-030a-4bf9-a931-5707d9e3eb14.jpg?v=1723412378,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,true,,,true,,,true,,,active
soothing-peppermint-foot-scrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/Foot_Scrub.jpg?v=1723413834,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ease-magnesium-mist,Ease Magnesium Mist,"<div class=""row item-row"">
<div class=""col-xs-24"">
<h3><span>Suggested Use</span></h3>
<div class=""prodOverviewDetail"">
<p>Spray 2-5 times onto your skin and massage the area. Magnesium Topical Spray may feel slightly oily, and an itchy sensation may occur (generally if your body is low in Magnesium) after application, but it is not an oil and will absorb quickly. You may see white residue from around the applied areas; this is just leftover salt that can be wiped off. For a foot soak add 1-2 oz. to warm water and soak feet for 20-30 minutes. </p>
<p>Caution: Do not apply to open wounds, cuts, or scratches. If burning or irritation occurs, please discontinue use immediately. For external use only.</p>
</div>
</div>
</div>
<div class=""row item-row"">
<div class=""col-xs-24""><br></div>
</div>
<!---->",SPIRIT BEAUTY,Health & Beauty,"","",false,Title,Default Title,,,,,,,,"",141.747615625,shopify,10,deny,manual,14.00,,true,true,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/image_29d163ba-135d-4ba6-a75b-8e484e62c82b.jpg?v=1723410552,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,true,,,true,,,true,,,active
ease-magnesium-mist,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0880/8294/0204/files/image_37053ed0-7ec9-4c53-9294-c486090c6e61.jpg?v=1723410628,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
